Start time (UTC), 0743 
 Sky conditions, CO-SDV 
 Other notes, Simultaneous with stakes readings (Ian & Debbie). Possible scratch on spectralon plate. Surface slightly frozen (small ponds have thin ice lid). 
 Ship latitude, 79.99248
 Ship longitude, -0.65415
Position, 1, 2, 3, 4, 5, 6
Surface type,NaN,NaN,NaN,NaN,NaN,NaN
Surface thickness (cm),NaN,NaN,NaN,NaN,NaN,NaN
Notes,NaN,NaN,NaN,NaN,NaN,NaN
Change in incident (%),0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5
710,0.731,0.717,0.264,0.353,0.710,0.697
711,0.730,0.716,0.262,0.352,0.709,0.696
712,0.729,0.715,0.260,0.351,0.709,0.695
713,0.729,0.714,0.258,0.350,0.708,0.694
714,0.728,0.714,0.256,0.348,0.707,0.693
715,0.727,0.712,0.254,0.348,0.706,0.692
716,0.726,0.712,0.253,0.348,0.706,0.691
717,0.725,0.711,0.251,0.347,0.705,0.690
718,0.725,0.710,0.249,0.345,0.705,0.689
719,0.724,0.710,0.247,0.344,0.703,0.688
720,0.723,0.709,0.245,0.343,0.702,0.687
721,0.722,0.707,0.243,0.342,0.702,0.686
722,0.721,0.707,0.241,0.341,0.702,0.685
723,0.721,0.706,0.239,0.340,0.701,0.684
724,0.720,0.706,0.237,0.339,0.699,0.683
725,0.719,0.704,0.236,0.337,0.699,0.681
726,0.719,0.704,0.233,0.337,0.699,0.680
727,0.718,0.703,0.232,0.336,0.698,0.680
728,0.717,0.703,0.230,0.335,0.697,0.678
729,0.716,0.701,0.229,0.334,0.696,0.676
730,0.715,0.701,0.226,0.333,0.695,0.676
731,0.714,0.700,0.224,0.332,0.695,0.675
732,0.714,0.700,0.223,0.331,0.694,0.674
733,0.713,0.699,0.221,0.330,0.693,0.673
734,0.712,0.698,0.219,0.329,0.692,0.672
735,0.712,0.697,0.218,0.329,0.692,0.671
736,0.711,0.697,0.218,0.329,0.690,0.669
737,0.710,0.696,0.217,0.327,0.690,0.668
738,0.709,0.695,0.216,0.326,0.689,0.668
739,0.708,0.695,0.216,0.327,0.688,0.667
740,0.707,0.694,0.215,0.326,0.688,0.666
741,0.706,0.692,0.214,0.326,0.687,0.665
742,0.706,0.691,0.214,0.325,0.687,0.664
743,0.706,0.691,0.214,0.325,0.686,0.664
744,0.705,0.690,0.213,0.324,0.685,0.663
745,0.703,0.689,0.213,0.324,0.684,0.662
746,0.703,0.689,0.212,0.324,0.683,0.661
747,0.703,0.688,0.212,0.323,0.682,0.660
748,0.701,0.687,0.212,0.323,0.682,0.659
749,0.699,0.685,0.211,0.322,0.681,0.657
750,0.698,0.684,0.210,0.322,0.680,0.656
751,0.698,0.683,0.211,0.322,0.679,0.655
752,0.696,0.683,0.210,0.321,0.678,0.654
753,0.695,0.682,0.209,0.320,0.677,0.653
754,0.694,0.680,0.209,0.320,0.675,0.651
755,0.693,0.679,0.208,0.319,0.675,0.650
