Start time (UTC), 1100 
 Sky conditions, CO-SDNV 
 Other notes, Melinda & Felix. Melting conditions and pond lids melting. SSL present. NSDV. 
 Ship latitude, 88.11375
 Ship longitude, 109.49771
Position,  0,  5, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60
Surface type, s, s, s, s, s, p, s, p, p, p, s, s, s
Surface thickness (cm),  0,  1,  3,  1,  1, 20,  1, 36, 36, 16,  5,  4,  0
Notes,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN, thin ice lid on pond,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN,                  NaN
Change in incident (%),10.0, 10.0, 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Wavelengths,Albedo0,Albedo1,Albedo2,Albedo3,Albedo4,Albedo5,Albedo6,Albedo7,Albedo8,Albedo9,Albedo10,Albedo11,Albedo12
557,0.504,0.561,0.623,0.584,0.443,0.331,0.728,,0.207,0.406,0.679,0.667,0.621
558,0.503,0.560,0.623,0.584,0.443,0.331,0.728,,0.207,0.406,0.678,0.667,0.620
559,0.503,0.560,0.622,0.584,0.442,0.331,0.728,,0.207,0.406,0.678,0.666,0.620
560,0.503,0.560,0.622,0.584,0.442,0.330,0.728,,0.207,0.405,0.678,0.666,0.620
561,0.502,0.559,0.622,0.584,0.442,0.330,0.728,,0.206,0.405,0.677,0.666,0.620
562,0.502,0.559,0.621,0.584,0.441,0.330,0.727,,0.206,0.404,0.677,0.666,0.620
563,0.502,0.559,0.621,0.583,0.441,0.329,0.726,,0.205,0.404,0.677,0.666,0.619
564,0.502,0.559,0.621,0.583,0.441,0.328,0.726,,0.204,0.404,0.677,0.665,0.619
565,0.502,0.559,0.622,0.583,0.440,0.329,0.726,,0.204,0.403,0.676,0.665,0.619
566,0.501,0.559,0.621,0.583,0.439,0.328,0.726,,0.203,0.403,0.676,0.665,0.619
567,0.501,0.559,0.621,0.583,0.439,0.327,0.726,,0.203,0.402,0.676,0.664,0.618
568,0.501,0.559,0.620,0.582,0.439,0.327,0.726,,0.203,0.401,0.675,0.664,0.618
